liver_hepatocytes,cerebellum - Purkinje cells,breast - glandular cells,kidney - cells in tubules,kidney - cells in glomeruli,skeletal_muscle_myocytes,bronchus - respiratory epithelial cells,cerebral cortex - neuropil,breast - myoepithelial cells,fallopian tube - glandular cells,colon - endothelial cells,"cervix, uterine - glandular cells",lateral ventricle - glial cells,gallbladder - glandular cells,breast - adipocytes,appendix - lymphoid tissue,epididymis - glandular cells,bone marrow - hematopoietic cells,adrenal gland - glandular cells,esophagus - squamous epithelial cells,cerebral cortex - endothelial cells,cerebral cortex - neuronal cells,heart muscle - myocytes,"cervix, uterine - squamous epithelial cells",colon - glandular cells,lung_macrophages,cerebellum - cells in granular layer,hippocampus - glial cells,cerebellum - cells in molecular layer,cerebral cortex - glial cells,appendix - glandular cells,hippocampus - neuronal cells,test_label
0.938,0.004,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.032,0.0,0.006,0.002,0.0,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.004,0.0,liver_hepatocytes
0.006,0.862,0.0,0.0,0.056,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.016,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.016,0.018,0.0,0.0,0.0,0.0,0.0,cerebellum - Purkinje cells
0.0,0.0,0.846,0.108,0.022,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.006,0.002,0.006,breast - glandular cells
0.0,0.0,0.0,0.906,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.032,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.002,0.0,0.0,kidney - cells in tubules
0.0,0.01,0.0,0.0,0.736,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.004,0.056,0.004,0.0,0.0,0.002,0.064,0.006,0.012,0.042,0.006,0.0,0.02,0.02,0.0,0.006,0.0,0.0,0.008,kidney - cells in glomeruli
0.0,0.014,0.0,0.0,0.032,0.856,0.0,0.0,0.002,0.0,0.01,0.0,0.004,0.004,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.01,0.0,0.02,0.008,0.002,0.0,0.0,0.018,0.008,0.01,0.0,skeletal_muscle_myocytes
0.012,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.012,0.002,0.0,0.0,0.006,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bronchus - respiratory epithelial cells
0.002,0.002,0.0,0.0,0.056,0.0,0.002,0.666,0.0,0.0,0.04,0.04,0.012,0.0,0.06,0.01,0.016,0.006,0.0,0.024,0.0,0.0,0.024,0.01,0.0,0.0,0.014,0.014,0.0,0.002,0.0,0.0,cerebral cortex - neuropil
0.014,0.0,0.0,0.0,0.004,0.002,0.004,0.0,0.872,0.0,0.0,0.006,0.028,0.0,0.002,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.002,0.004,0.022,0.002,0.0,0.0,0.0,0.0,0.0,0.032,breast - myoepithelial cells
0.0,0.0,0.008,0.0,0.0,0.0,0.006,0.006,0.0,0.96,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.01,0.0,fallopian tube - glandular cells
0.0,0.038,0.0,0.0,0.016,0.0,0.0,0.012,0.0,0.002,0.788,0.0,0.0,0.006,0.026,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.008,0.018,0.0,0.006,0.01,0.064,0.0,colon - endothelial cells
0.006,0.0,0.006,0.0,0.024,0.012,0.0,0.0,0.0,0.0,0.0,0.784,0.018,0.0,0.0,0.056,0.018,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.006,0.012,0.0,0.0,0.036,"cervix, uterine - glandular cells"
0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.032,0.0,0.0,0.064,0.774,0.0,0.0,0.002,0.002,0.02,0.0,0.054,0.006,0.0,0.0,0.0,0.03,0.0,0.002,0.0,0.002,0.0,0.004,0.004,lateral ventricle - glial cells
0.0,0.002,0.0,0.0,0.016,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.792,0.096,0.008,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.006,0.0,0.004,0.046,0.0,0.0,0.0,0.0,gallbladder - glandular cells
0.002,0.0,0.0,0.004,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.012,0.84,0.0,0.0,0.01,0.002,0.0,0.008,0.0,0.0,0.002,0.0,0.0,0.002,0.01,0.0,0.004,0.0,0.0,breast - adipocytes
0.0,0.002,0.002,0.004,0.018,0.0,0.002,0.024,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.916,0.004,0.0,0.002,0.0,0.0,0.0,0.002,0.016,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,appendix - lymphoid tissue
0.0,0.022,0.032,0.0,0.008,0.0,0.02,0.002,0.0,0.0,0.028,0.036,0.0,0.0,0.0,0.008,0.756,0.0,0.0,0.006,0.006,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.006,epididymis - glandular cells
0.006,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.006,0.054,0.006,0.01,0.026,0.032,0.018,0.828,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,bone marrow - hematopoietic cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.008,0.0,0.014,0.0,0.064,0.0,0.002,0.0,0.0,0.864,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.012,0.0,adrenal gland - glandular cells
0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.004,0.024,0.0,0.0,0.078,0.0,0.0,0.0,0.774,0.022,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.002,0.0,0.0,0.06,esophagus - squamous epithelial cells
0.002,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.018,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.928,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cerebral cortex - endothelial cells
0.0,0.004,0.0,0.0,0.016,0.008,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.0,0.0,0.954,0.0,0.002,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,cerebral cortex - neuronal cells
0.002,0.0,0.01,0.0,0.022,0.004,0.006,0.0,0.0,0.0,0.008,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.93,0.006,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,heart muscle - myocytes
0.0,0.008,0.024,0.0,0.022,0.002,0.0,0.002,0.004,0.0,0.0,0.0,0.002,0.0,0.0,0.054,0.0,0.004,0.0,0.0,0.008,0.0,0.0,0.828,0.0,0.0,0.0,0.0,0.04,0.0,0.002,0.0,"cervix, uterine - squamous epithelial cells"
0.0,0.004,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.978,0.0,0.0,0.006,0.0,0.0,0.0,0.0,colon - glandular cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.01,0.0,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.008,0.0,0.008,0.946,0.0,0.0,0.0,0.008,0.006,0.0,lung_macrophages
0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.018,0.002,0.002,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.038,0.006,0.012,0.004,0.008,cerebellum - cells in granular layer
0.008,0.03,0.0,0.004,0.028,0.0,0.0,0.002,0.004,0.006,0.0,0.006,0.014,0.004,0.01,0.006,0.014,0.0,0.006,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.79,0.036,0.0,0.028,0.0,hippocampus - glial cells
0.0,0.044,0.0,0.0,0.056,0.002,0.004,0.006,0.016,0.0,0.012,0.016,0.0,0.0,0.004,0.018,0.0,0.0,0.012,0.004,0.0,0.0,0.002,0.02,0.002,0.01,0.0,0.0,0.75,0.0,0.018,0.004,cerebellum - cells in molecular layer
0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.014,0.008,0.006,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.0,0.028,0.854,0.012,0.0,cerebral cortex - glial cells
0.0,0.0,0.02,0.0,0.008,0.0,0.0,0.006,0.004,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.002,0.006,0.002,0.0,0.0,0.0,0.0,0.008,0.0,0.006,0.004,0.0,0.0,0.0,0.904,0.002,appendix - glandular cells
0.0,0.0,0.002,0.006,0.02,0.0,0.0,0.002,0.0,0.0,0.01,0.018,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.914,hippocampus - neuronal cells
